L;N;type;j;kempt;P_type1;P_type2_1;P_type2_2;P_type2_3;P_type2_4;P_type2_5;P_type2_6
10;10000;mono;30;3;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;10000;mono;50;3;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;10000;bi;50;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;10000;bi;100;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;10000;bi;200;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;mono;30;3;0.9924725695330442;0.025644297014544525;0.8007144679765246;0.9069915794845624;0.022965042102577188;0.9669558560857362;0.0
100;10000;mono;50;3;0.9924725695330442;0.007527430466955856;0.747639704006124;0.876881857616739;0.007527430466955856;0.9541974993620822;0.0
100;10000;bi;50;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;bi;100;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;bi;200;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;10000;mono;30;3;0.0012755102040816757;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.0
1000;10000;mono;50;3;0.0012755102040816757;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.0
1000;10000;bi;50;10;1.0;0.0;0.0;0.0012755102040816326;0.0;0.0;0.0
1000;10000;bi;100;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;10000;bi;200;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10000;1000;mono;30;3;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.0
10000;1000;mono;50;3;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.0
10000;1000;bi;50;10;1.0;0.10126582278481013;0.9240506329113924;0.9873417721518988;0.10126582278481013;0.9873417721518988;0.0
10000;1000;bi;100;10;1.0;0.0;0.7848101265822784;0.9746835443037974;0.012658227848101266;0.9873417721518988;0.0
10000;1000;bi;200;10;1.0;0.0;0.27848101265822783;0.9367088607594937;0.0;0.9873417721518988;0.0
