X;Vigenere_r1;Vigenere_r5;Vigenere_r10;Affine;Uniform;Recursive
іванфранко;сїичбьичфш;ацюлцзфлїр;иїпцєебязу;дячрсічрще;юротхоєслґ;юваввґеимц
академіяна;мьмстячлам;йдьткщвщбж;юаафеїанїї;ащажгпідка;хлянжсюзпт;фибіїувхчп
укукраїнсь;ютютшжрхщд;нєсйхчдлрв;ізивиайійл;асасонігув;їшьгющиечм;ббвгджйсбт
коїрсрінст;икжмнмєйно;ехтфдїочхе;чййцлжжьфщ;кзауьуцвьґ;ркжтгтейац;ґвежктгхшр
итутлітера;глмлжґляйц;ячйедачщґу;шбиомтьфтн;вдьдшчдбсм;ихшчґдюарж;жцбчштнеущ
туриімтгше;йкібвєйчпь;лчшутзціжн;вюжзщжіжшґ;йчоифшйіюр;рясжубгизд;ддилхєяеді
вченкаіван;кеощцїукїщ;якнхпьюйжт;пююпґфитйм;орнелвфове;чюдїьетґеа;ввґеимцзві
франкозібр;нйциєівґчй;ізєттдюоеш;ажштяймлшс;ґсєзьйиоіс;еенювсущнй;їлчзгїлчзг
аннятворів;иччзяїшьсї;чхюефщцбоґ;їшїукмжійу;чяянмкзщдк;ґквьсмнмай;счлзфаффле
упятдесяти;ґайгпрвйгф;їеьицшжьию;геемюгзлжм;яхутнчїутб;ипаутуедтш;фґшячцрйай
томахлітер;нйішриенбл;уюкґимфрид;мфґооєшйрс;апїтчхіаиц;єйичбитята;цзвійфґшяч
атурнокрит;пжзегґаещж;єстпгхйпзж;гщшзґіелзм;їушйюгмйщу;нясііґтзхя;юмкьіжпчйє
ичніпраціт;єфкжмньужп;єсшїунчґїц;щєєбіивфею;шщзьйлжчьп;дєєчртркфи;ссзьегзїса
омвидавниц;нлбзґябмзх;ежтпгсчґпф;вчехтажґлє;вхсшгісьшз;езіаьтяесо;аттіаіітат
твонаукова;шжфуещрфже;илншгічнйг;орвцикмєєн;ройгюьейою;ннавоїбфьч;нхзбиісярп
думкакиївр;іщтрерможц;сйооєьакеч;палмсілзад;аліфмфнґго;юіікзптфьї;бьюшцсквмо
едакційнак;изґоьлнсґо;щіщтьбпйжо;ааівцуімвш;цюупхбфґуп;юлзхєяшґпв;фяутїбйкчж
олегіямдбе;фсїзндтієї;щгплкиґойз;вфднжшнхшс;уцвдьзхгєв;вжльяюючнб;тдчяцхоишд
рнштейнгдв;ящєбохщлнк;крщцпєрґзл;ббауйедсбс;ьгхґктгрча;єцфлнчяшнш;зтюродушой
ервеслтгор;свнсгьґоав;щшчьтдьшзс;жубґцркфцх;иеьибющхме;кґєєчщювищ;брсжщґаґґж
дієнкоодей;хючґбддхца;схмеґбякшг;сґбвшояйяг;іцчжнмміпз;єґуеглґврж;гєинчідмсґ
баідеркачз;їітмнюхідр;коєвґаящфє;двцюизкухв;щьпхфимьгс;вікафхчцвр;слгосечачч
аступникго;їабвющтцль;юуиоілївюи;окнбкюдюща;пмжаялдешє;баюмєзґйґґ;доужюеґикф
ловиоідзев;кнбзниґждб;іеуббєцььо;фябебухатб;юбоцбчсхто;джжжекюйюр;зелсгфчоїь
ерінвіюієв;яйґишґфґаш;їлгіпнцгбп;всфязващкш;єглочлклвч;нрьуопьсьр;нвпсєшвьящ
докименкоо;мщхсчншхщщ;нющоїоьщцк;еяжєфнпрґю;бгинуфйигг;фєбкйтяґрз;дпфибіїувх
