L;N;type;j;kempt;P_type1;P_type2_1;P_type2_2;P_type2_3;P_type2_4;P_type2_5;P_type2_6
10;10000;mono;30;3;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;10000;mono;50;3;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;10000;bi;50;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;10000;bi;100;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;10000;bi;200;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;mono;30;3;0.9924725695330442;0.023985710640469508;0.8032661393212555;0.910436335799949;0.024496044909415666;0.9665731053840265;0.0
100;10000;mono;50;3;0.9924725695330442;0.007527430466955856;0.747639704006124;0.876881857616739;0.007527430466955856;0.9541974993620822;0.0
100;10000;bi;50;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;bi;100;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;bi;200;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;10000;mono;30;3;0.0012755102040816757;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.0
1000;10000;mono;50;3;0.0012755102040816757;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.0
1000;10000;bi;50;10;1.0;0.0;0.0;0.0;0.0;0.002551020408163265;0.0
1000;10000;bi;100;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;10000;bi;200;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10000;1000;mono;30;3;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.0
10000;1000;mono;50;3;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.0
10000;1000;bi;50;10;1.0;0.0759493670886076;0.9620253164556962;0.9873417721518988;0.08860759493670886;0.9873417721518988;0.0
10000;1000;bi;100;10;1.0;0.0;0.7974683544303798;0.9873417721518988;0.0;0.9873417721518988;0.0
10000;1000;bi;200;10;1.0;0.0;0.24050632911392406;0.9620253164556962;0.0;0.9873417721518988;0.0
